service_category,sub_category,action,system,system_desc,endpoint
Travel & Expense,Travel,Book flight,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Travel,Change flight,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Travel,Cancel flight,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Travel,Book hotel,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Travel,Change hotel,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Travel,Cancel hotel,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Travel,View trip,Travel Management System (TMS),"System manages flights, hotels, and trains bookings.",https://tms.example.com
Travel & Expense,Expense,Start expense report,Expense Management System (EMS),System manages expense reports and approvals.,https://ems.example.com
Travel & Expense,Expense,Submit expense report,Expense Management System (EMS),System manages expense reports and approvals.,https://ems.example.com
Travel & Expense,Expense,Review open expense reports,Expense Management System (EMS),System manages expense reports and approvals.,https://ems.example.com
Travel & Expense,Approvals,Approve expenses,Expense Management System (EMS),Managers use this system to approval and manage approval requests,https://ems.example.com
Travel & Expense,Approvals,Review approval requests,Expense Management System (EMS),Managers use this system to approval and manage approval requests,https://ems.example.com
Travel & Expense,App Center,Download travel app,Travel and Expense Apps,Manages apps for iPhone and Andriod devices,https://apps.tms.example.com
Travel & Expense,App Center,Download expense app,Travel and Expense Apps,,https://apps.tms.example.com
Financial,Policy,Travel and Expense policy,Internal Wiki,Use 'Policy' tab to view policy details,https://wiki.example.com
Human Resources,Benefits/health,View health benefits,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Enroll in health plan,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Add family members,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
